B1,B2,B3,B4,B5,B6,B7,Chl-a
1012,1212,1435,1227,120,185,283,12.27
1263,1534,1785,1654,412,311,382,14.53
1041,1205,1431,1271,143,259,342,18.37
1117,1384,1630,1327,434,658,549,6.26
1039,1240,1490,1313,138,238,318,18.73
892,1040,1257,1028,79,101,156,16.52
1171,1428,1666,1530,369,271,346,16.59
1302,1575,1833,1719,522,375,434,16.12
1138,1395,1653,1350,467,699,585,6.6
1198,1455,1700,1577,390,288,365,15.73
1218,1482,1732,1587,370,294,379,18.32
1173,1406,1637,1526,399,294,372,11.39
931,1160,1370,1085,101,330,264,6.72
1120,1337,1553,1401,351,329,388,8.43
800,980,1178,944,102,327,260,8.49
1186,1422,1644,1448,238,328,405,8.32
1215,1480,1680,1525,346,401,458,9.64
989,1174,1403,1200,112,164,258,12.1
1260,1508,1747,1627,454,400,459,9.2
550,625,742,649,91,443,296,9.46
1168,1381,1624,1437,349,324,400,8.45
1289,1541,1703,1548,445,549,576,11.43
857,1060,1278,996,237,459,377,7.88
1000,1259,1487,1216,247,467,391,6.06
1029,1193,1410,1201,312,281,360,7.85
1164,1394,1618,1420,215,335,411,17.72
1273,1556,1806,1667,431,351,419,13.14
1242,1529,1770,1483,565,727,616,6.71
1152,1433,1669,1361,468,665,564,6.21
1198,1458,1710,1581,393,282,350,17.08
1134,1368,1595,1464,263,214,309,17.22
1261,1526,1756,1617,386,375,443,14.53
928,1080,1290,1057,88,121,189,17.31
1183,1442,1666,1565,378,272,360,17.13
1027,1206,1424,1259,138,266,332,17.91
1118,1378,1621,1372,478,677,570,7.71
785,1064,1462,1204,95,410,229,8.13
1050,1302,1543,1272,317,532,442,5.03
1168,1414,1648,1439,211,326,405,7.68
1169,1408,1640,1439,225,357,426,16.95
1209,1451,1715,1608,418,281,360,15.44
1281,1576,1825,1528,616,786,671,5.98
1165,1394,1622,1411,205,324,395,16.98
825,1015,1297,924,330,524,438,8.75
1247,1502,1730,1636,426,317,391,17.99
1254,1491,1708,1532,388,458,513,9.85
1249,1510,1726,1524,315,414,466,7.39
1180,1408,1585,1439,331,436,479,13.5
1296,1563,1832,1725,519,369,429,16.26
1020,1199,1433,1214,119,207,294,16.31
977,1147,1390,1196,110,157,249,18.35
1275,1569,1807,1671,434,333,407,15.34
1045,1228,1451,1286,139,268,348,17.37
899,1105,1331,1049,293,507,418,7.24
1176,1427,1669,1569,375,210,299,16.57
1213,1462,1685,1460,239,383,443,7.37
1103,1313,1483,1379,294,372,419,12.18
1060,1251,1469,1311,152,302,370,16.79
1009,1193,1454,1263,126,217,296,16.77
1086,1264,1490,1325,181,304,371,16.68
1158,1371,1548,1449,463,242,324,16.48
910,1063,1294,1052,88,123,200,17.04
1242,1516,1719,1566,427,409,464,8.83
1229,1492,1729,1605,435,329,399,16.11
1194,1454,1703,1563,330,282,358,16.9
924,1150,1378,1067,104,332,264,6.22
1163,1409,1635,1517,415,244,326,17.13
1285,1525,1725,1552,395,482,529,12.82
1024,1205,1416,1202,119,211,302,16.23
1049,1245,1440,1282,150,288,356,4.63
1285,1562,1815,1715,514,391,440,16.39
918,1138,1353,1049,96,328,262,6.53
1188,1451,1693,1586,402,253,326,16.81
1249,1456,1569,1522,622,566,566,7.39
1149,1394,1620,1428,211,312,389,7.45
1053,1294,1550,1283,435,627,523,8.37
1127,1334,1537,1422,391,215,294,17.72
1063,1260,1462,1326,185,278,352,18.17
1207,1486,1710,1590,405,285,364,17.03
1349,1656,1901,1613,701,860,723,5.91
1031,1248,1487,1258,130,201,278,12.3
1151,1368,1610,1486,365,278,355,14.81
1048,1242,1496,1317,137,231,309,17.15
1151,1396,1648,1361,491,722,601,8.31
1041,1285,1531,1261,416,597,498,7.48
1156,1369,1610,1410,470,372,435,10.11
1227,1479,1732,1628,435,294,372,15.66
1150,1372,1613,1467,259,232,323,17.2
1105,1308,1550,1376,154,332,396,17.11
999,1163,1394,1218,130,233,319,18.89
1180,1428,1663,1526,294,251,332,15.76
1201,1486,1740,1448,520,704,596,6.63
1128,1365,1584,1382,175,317,389,7.0
1188,1403,1641,1498,335,309,378,18.13
1122,1365,1559,1410,255,326,395,9.99
1162,1387,1602,1417,223,295,375,8.97
1255,1495,1755,1623,479,375,446,16.28
1026,1199,1357,1212,330,208,281,16.15
1227,1480,1726,1588,404,357,424,17.69
923,1068,1284,1061,89,122,187,18.38
1127,1353,1584,1344,145,312,382,15.22
830,1009,1216,965,249,438,357,7.66
1065,1248,1495,1335,142,282,354,17.13
1272,1680,1951,1716,776,916,786,7.14
1047,1215,1425,1219,125,217,307,18.9
1013,1225,1454,1227,110,146,246,12.9
1183,1421,1656,1464,274,363,428,16.89
1159,1409,1650,1517,353,251,335,16.89
981,1217,1435,1142,159,426,346,6.7
1245,1480,1711,1587,397,349,412,18.2
1000,1197,1388,1181,122,208,295,16.82
1207,1439,1684,1552,383,324,402,16.42
1187,1409,1566,1464,511,270,332,17.25
1128,1334,1518,1367,247,362,422,13.46
1043,1217,1451,1278,140,278,352,17.75
1104,1326,1558,1366,147,249,332,7.03
1287,1577,1768,1495,644,783,647,6.01
1154,1408,1658,1368,479,711,597,7.6
1116,1342,1585,1331,472,657,550,8.08
1132,1393,1649,1349,466,703,588,6.99
1185,1405,1640,1529,418,239,317,17.46
1015,1203,1439,1258,123,213,290,17.11
1231,1485,1733,1606,426,322,391,15.33
1103,1351,1608,1322,427,670,565,5.48
1277,1606,1849,1563,660,831,702,5.98
1261,1548,1776,1657,408,323,391,12.32
1246,1517,1741,1539,308,419,467,8.82
1063,1312,1555,1301,454,623,527,7.98
1198,1440,1673,1542,375,327,400,18.32
799,962,1197,921,192,389,315,7.81
1322,1620,1871,1579,673,839,700,6.19
1135,1381,1633,1346,447,682,569,6.15
1192,1425,1647,1480,534,376,441,17.28
1186,1434,1680,1559,415,258,337,17.76
1019,1194,1405,1198,120,207,294,15.2
752,813,1187,755,62,21,21,4.75
1236,1536,1769,1636,387,309,378,12.63
1020,1193,1413,1175,119,209,291,15.05
1253,1489,1669,1513,392,503,543,8.28
1132,1365,1594,1379,152,282,359,7.31
1117,1505,1841,1592,451,692,548,11.93
1146,1369,1592,1386,181,327,395,7.19
1129,1412,1638,1327,419,637,527,5.36
885,1089,1324,1007,316,522,438,8.1
1299,1565,1774,1632,414,431,475,12.3
1215,1465,1681,1477,260,387,443,7.45
1032,1209,1461,1269,126,231,317,18.51
1353,1806,2084,1844,890,878,756,8.18
1021,1230,1462,1218,109,150,260,12.66
1116,1387,1645,1348,391,600,495,6.15
1110,1372,1636,1334,436,686,566,7.07
1284,1635,1910,1676,868,1023,874,6.09
1123,1377,1623,1337,450,681,567,5.94
1255,1657,1938,1681,749,914,795,7.31
1127,1348,1596,1395,168,285,363,7.82
974,1218,1473,1216,279,509,420,6.5
925,1161,1396,1080,104,329,262,5.86
915,1052,1267,1056,89,109,162,18.94
954,1117,1351,1157,105,148,240,18.95
1123,1382,1642,1346,461,688,572,7.1
871,1054,1282,1010,261,473,385,8.11
1008,1267,1513,1224,378,577,481,7.39
1053,1248,1481,1318,142,265,342,16.79
1207,1434,1661,1510,523,369,432,15.71
1055,1246,1484,1305,140,289,366,18.52
1147,1331,1555,1370,602,505,522,8.31
1205,1458,1676,1520,361,361,429,8.12
917,1138,1355,1061,98,331,261,5.91
1029,1184,1409,1269,147,216,301,17.71
1288,1545,1762,1658,541,436,485,15.1
1223,1470,1688,1569,392,313,376,16.4
1053,1181,1403,1206,260,357,416,8.09
1151,1400,1615,1417,180,349,410,12.81
1187,1431,1661,1455,274,368,437,16.27
1197,1399,1589,1405,285,398,459,12.89
772,849,1171,777,62,24,29,5.05
1217,1470,1710,1600,426,317,381,17.99
1054,1268,1498,1283,128,231,320,10.34
1170,1403,1626,1428,223,353,425,6.95
1057,1240,1470,1311,150,302,376,18.35
1134,1389,1637,1341,463,700,584,6.92
1217,1451,1684,1480,265,375,443,18.32
1273,1531,1791,1679,485,356,420,15.75
1080,1267,1499,1333,174,328,394,17.22
1078,1346,1586,1317,436,637,529,6.82
1133,1387,1636,1346,458,692,579,6.55
1137,1351,1607,1472,344,236,312,18.27
1144,1382,1629,1511,331,224,305,17.0
1116,1335,1563,1370,148,284,361,6.85
1199,1470,1700,1586,396,277,353,16.89
1191,1437,1695,1550,426,294,375,17.01
1236,1486,1715,1573,378,356,414,10.48
1205,1440,1656,1426,214,374,451,14.9
1169,1419,1643,1507,304,265,347,17.71
1131,1383,1644,1336,460,693,580,7.5
1021,1249,1477,1254,121,191,282,11.5
1124,1377,1627,1336,465,704,590,7.83
1141,1345,1607,1491,344,215,312,14.2
1157,1405,1614,1414,183,313,389,12.28
846,1020,1261,954,193,431,347,7.6
1266,1523,1765,1631,541,395,460,17.32
1111,1323,1529,1391,268,281,354,16.66
1075,1126,1404,1091,517,210,519,3.1
1052,1291,1536,1270,419,602,498,7.54
1185,1437,1665,1550,365,260,336,17.01
1174,1396,1635,1445,453,376,438,9.52
860,1062,1274,1004,104,331,265,7.71
1249,1513,1762,1626,399,310,385,15.92
1279,1541,1774,1643,474,410,464,11.87
823,1009,1244,966,222,434,355,7.68
1233,1483,1700,1501,322,431,484,9.56
1204,1451,1734,1606,410,288,366,16.13
1126,1374,1635,1334,449,677,570,6.94
860,906,1021,823,218,115,352,4.43
937,1101,1314,1086,95,136,219,16.78
1283,1545,1766,1619,379,402,465,14.65
976,1169,1392,1183,111,150,252,11.79
1258,1529,1773,1650,489,356,428,16.78
1117,1381,1608,1355,485,674,571,8.31
1255,1554,1806,1504,594,769,653,6.07
1335,1653,1887,1599,693,857,722,5.89
1107,1331,1561,1325,140,296,364,15.09
1128,1382,1647,1351,461,696,584,7.3
1300,1618,1856,1558,652,817,691,6.45
1013,1191,1398,1192,120,194,287,17.8
1263,1519,1763,1652,405,295,371,14.82
1223,1464,1672,1519,381,419,476,9.39
1209,1436,1643,1561,560,338,402,13.31
1281,1548,1780,1657,470,358,431,16.42
1019,1218,1443,1205,106,149,246,12.6
1230,1510,1725,1596,509,368,434,16.9
1025,1190,1403,1185,117,208,294,15.21
933,1161,1391,1077,106,332,260,5.56
1173,1412,1652,1451,263,369,430,17.4
1101,1355,1596,1355,476,673,554,8.0
1008,1225,1454,1214,107,143,240,13.0
1223,1464,1708,1586,421,293,359,17.06
1062,1311,1540,1234,274,530,433,6.59
898,1076,1311,1033,270,480,400,7.75
1207,1462,1696,1568,461,335,405,17.04
1084,1271,1517,1339,146,296,366,18.13
1171,1378,1611,1400,189,334,405,8.26
1042,1242,1469,1302,136,245,318,16.66
994,1163,1398,1207,114,177,265,18.46
1086,1305,1542,1335,142,268,350,6.74
1210,1424,1680,1463,276,374,448,18.26
1287,1560,1808,1692,450,326,399,14.91
1215,1477,1718,1591,368,270,344,15.38
1104,1322,1543,1382,245,315,391,9.03
1307,1579,1807,1590,371,487,531,7.97
1123,1366,1609,1506,329,194,282,16.6
785,846,1176,771,68,31,45,3.57
1194,1437,1656,1453,247,366,431,17.73
1158,1400,1626,1507,327,244,319,16.39
1056,1273,1513,1331,140,258,332,16.84
959,1123,1361,1149,104,146,236,18.28
1228,1462,1714,1568,397,358,426,17.04
1198,1448,1673,1550,441,293,369,17.79
1131,1368,1606,1410,208,305,378,8.06
1066,1277,1495,1300,135,234,324,11.74
1072,1279,1521,1351,144,260,335,16.63
1132,1345,1576,1356,149,302,388,13.32
1035,1218,1416,1259,144,273,349,17.73
760,928,1181,845,166,416,337,7.07
1155,1372,1600,1405,228,296,384,8.8
1236,1489,1739,1600,409,347,412,17.42
980,1027,1127,913,292,123,371,3.37
1207,1448,1661,1460,251,368,436,7.14
1157,1359,1595,1402,496,396,464,9.19
1179,1405,1628,1417,238,357,435,15.69
1170,1422,1643,1520,321,265,343,18.32
1077,1295,1518,1307,141,282,361,9.05
1020,1200,1401,1181,120,213,300,15.0
1133,1388,1591,1398,174,296,376,8.99
1221,1513,1767,1469,544,709,600,6.16
1203,1443,1669,1467,250,363,426,7.04
1224,1495,1763,1639,449,335,402,14.82
1045,1224,1438,1281,145,278,350,18.82
1115,1332,1565,1336,137,271,360,11.98
1135,1389,1643,1348,468,705,591,8.43
862,1064,1267,1006,105,335,269,7.57
1198,1462,1700,1604,412,287,360,15.6
1002,1196,1423,1212,118,169,264,12.3
1103,1335,1569,1318,139,290,366,15.46
1219,1482,1748,1619,379,275,358,15.33
1102,1317,1555,1356,144,270,355,7.14
1029,1218,1412,1203,125,208,291,17.35
1236,1502,1758,1630,384,295,370,15.88
1241,1661,1970,1722,739,913,783,7.6
1193,1436,1659,1537,388,342,411,15.24
1191,1425,1656,1472,452,369,437,9.85
1202,1481,1735,1424,504,691,586,6.56
1206,1451,1688,1486,298,389,446,18.74
996,1180,1388,1180,120,190,288,17.78
1261,1598,1898,1607,705,860,736,6.26
1121,1383,1636,1352,453,687,578,6.14
1060,1261,1477,1295,295,268,347,8.1
1252,1479,1667,1512,392,483,535,8.95
972,1166,1406,1211,113,169,267,18.19
1189,1415,1576,1459,383,472,508,11.42
1042,1231,1468,1298,138,264,344,18.33
1013,1182,1436,1240,118,209,285,16.84
1188,1448,1654,1504,313,327,397,7.52
1269,1572,1789,1663,405,327,395,14.12
1025,1217,1458,1286,133,248,325,18.3
1203,1585,1897,1644,641,837,701,9.85
1212,1462,1700,1565,375,335,405,10.75
1095,1297,1516,1380,277,226,305,16.72
922,1071,1293,1050,89,123,207,17.53
1240,1499,1744,1643,434,304,372,17.21
967,1108,1338,1140,293,265,343,8.22
868,1067,1274,998,99,327,262,6.52
1269,1534,1784,1688,476,332,399,16.25
1014,1191,1407,1203,118,214,299,15.33
1162,1403,1652,1526,346,256,336,16.42
1123,1362,1584,1379,147,276,358,11.95
1133,1383,1634,1350,479,714,597,7.86
887,1015,1241,1020,83,104,162,18.59
1068,1307,1553,1314,432,623,521,8.73
1146,1396,1614,1499,397,247,323,17.09
1246,1488,1684,1538,428,509,547,9.17
1162,1419,1659,1522,348,265,343,16.57
1135,1357,1592,1386,185,322,393,7.08
1194,1411,1648,1491,516,368,429,14.58
1177,1419,1641,1532,357,294,367,16.11
1227,1473,1688,1484,251,413,475,9.83
1265,1531,1722,1539,303,455,490,10.41
1007,1190,1407,1242,137,249,331,18.92
1204,1411,1602,1445,326,436,484,8.04
1256,1576,1880,1583,670,840,717,7.12
1157,1381,1618,1417,481,378,457,9.54
1023,1221,1472,1283,129,211,300,16.96
1261,1526,1741,1609,518,407,464,17.34
789,840,896,745,105,100,141,15.21
1189,1443,1637,1463,302,370,431,11.21
1192,1437,1651,1449,233,392,438,8.57
884,1075,1304,991,296,528,437,7.94
1126,1378,1636,1342,446,677,562,6.28
1217,1437,1624,1473,379,467,512,8.44
1026,1191,1399,1183,120,215,297,15.99
876,1068,1267,1012,133,437,346,5.76
1280,1589,1843,1553,629,776,664,6.2
820,1001,1249,916,244,480,395,7.84
1157,1394,1636,1522,375,299,379,15.09
1189,1443,1699,1551,321,253,344,15.64
744,790,1122,729,75,33,42,3.95
711,806,858,737,113,480,314,8.57
1188,1419,1639,1454,246,359,429,17.46
1247,1517,1766,1645,397,283,366,15.17
1104,1335,1568,1362,164,299,378,7.55
1181,1405,1629,1431,216,328,400,18.61
1217,1459,1700,1568,381,345,417,17.96
1182,1425,1656,1534,378,315,378,16.23
935,1143,1360,1071,100,333,267,5.97
1197,1425,1621,1450,305,396,453,13.2
1055,1255,1479,1307,139,271,346,17.96
1199,1449,1661,1503,333,340,411,8.83
1247,1528,1773,1659,408,293,367,13.6
1239,1525,1765,1631,396,302,382,16.21
1129,1394,1648,1344,443,670,563,6.5
1302,1581,1836,1725,524,386,444,15.97
1275,1566,1825,1512,580,741,641,6.23
968,1210,1459,1149,185,431,352,5.59
862,1056,1279,1005,245,461,383,7.98
1164,1397,1648,1513,349,233,319,17.18
1169,1406,1648,1520,356,243,324,17.28
1243,1516,1751,1634,391,288,363,15.95
927,1077,1286,1057,89,120,191,16.1
1176,1408,1633,1459,304,356,424,11.62
788,965,1213,871,216,459,380,8.47
1000,1214,1430,1136,147,416,339,6.36
1260,1525,1773,1657,450,347,417,18.11
1230,1479,1693,1495,324,442,494,9.25
1003,1168,1381,1169,311,287,361,8.14
1271,1553,1804,1699,490,362,424,16.44
1096,1310,1532,1365,132,190,281,15.4
1129,1382,1633,1345,458,697,579,6.22
1279,1671,2012,1770,821,932,829,9.73
1014,1199,1390,1188,121,197,289,17.72
895,1086,1318,999,317,539,454,7.98
1241,1477,1708,1573,408,355,419,17.44
1206,1476,1700,1595,422,309,376,17.37
1237,1480,1717,1541,426,342,410,13.37
861,1084,1303,1062,137,373,305,6.34
941,1104,1324,1109,105,147,246,18.75
1135,1374,1594,1362,149,321,395,15.21
1235,1495,1743,1617,434,326,400,14.77
1002,1178,1375,1178,121,191,275,16.54
1135,1366,1603,1490,381,220,311,17.19
1219,1430,1592,1470,395,452,501,11.4
1241,1480,1708,1595,501,362,426,16.48
1200,1436,1658,1546,355,285,363,16.67
1181,1414,1641,1457,230,318,390,9.25
1008,1205,1421,1221,120,176,266,12.25
1140,1400,1651,1348,464,701,586,6.22
988,1151,1391,1203,112,169,258,18.18
1258,1529,1733,1586,445,418,477,8.66
1015,1206,1416,1268,145,244,322,18.6
1100,1363,1600,1330,467,660,556,7.83
1198,1430,1640,1563,560,333,389,11.16
1187,1418,1624,1467,520,378,431,14.53
1168,1408,1643,1521,351,241,320,16.48
1175,1431,1640,1460,291,357,428,8.58
1030,1211,1433,1215,117,215,303,17.27
1217,1513,1765,1458,524,708,604,6.59
1217,1459,1708,1574,401,334,407,18.84
1133,1389,1648,1361,462,695,583,6.21
959,1208,1440,1184,327,531,444,8.19
729,753,815,660,88,94,138,13.46
1107,1340,1592,1304,424,662,553,5.57
1008,1172,1380,1227,132,225,308,18.68
1195,1427,1656,1455,223,353,420,10.44
1197,1434,1673,1537,360,309,383,18.32
1322,1639,1889,1611,686,856,728,7.11
1237,1499,1710,1497,285,389,451,5.94
1104,1352,1600,1310,406,646,544,6.28
1151,1385,1614,1485,268,230,319,18.38
749,814,1161,751,60,20,21,4.86
1158,1394,1603,1457,291,338,408,11.13
1028,1282,1526,1253,297,505,421,6.9
997,1190,1412,1209,115,168,262,12.3
